,name,type,exp,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33,recall,precision,f1,harmonic_mean
0,dt,r v ff v t v s,few_1,3085,5,358.0,26.0,141,218,2968.0,24.0,339.0,48.0,4489.0,36.0,1524.0,26.0,849.0,232.0,0.48885010838544696,0.6445477965706348,0.41438675250715773,0.13156489832439383
1,nbb,r v ff v t v s,few_1,1984,159,1142.0,189.0,6,3097,114.0,134.0,27.0,3327.0,1480.0,78.0,1101.0,506.0,1000.0,24.0,0.45165663781976156,0.37425022949314085,0.3870569198467833,0.3597999081356327
2,knn,r v ff v t v s,few_1,42,1,1519.0,1912.0,10,43,3180.0,118.0,2.0,0.0,4856.0,54.0,10.0,3.0,1337.0,1281.0,0.3747225954908854,0.6074608405170608,0.27221916180007144,0.0190759919732858
3,svm,r v ff v t v s,few_1,2916,144,388.0,26.0,10,259,3073.0,9.0,333.0,5.0,4573.0,1.0,1516.0,5.0,1109.0,1.0,0.46202124164086583,0.4388832848822316,0.3736922423055074,0.23364095980507543
0,dt,r v f,few_1,3085,389,,,2002,8892,,,,,,,,,,,0.8162255709312463,0.9580672055825403,0.8814725479897888,0.8505516522586891
1,nbb,r v f,few_1,1984,1490,,,1134,9760,,,,,,,,,,,0.8958892085399578,0.8675957871105815,0.8815008935223482,0.6966700861964076
2,knn,r v f,few_1,36,3438,,,14,10880,,,,,,,,,,,0.9987150658000152,0.7598822986492572,0.8630636723030101,0.21992327665122352
3,svm,r v f,few_1,1972,1502,,,1132,9762,,,,,,,,,,,0.8960750847146398,0.8666930167541705,0.8811255392670894,0.6941635574316779
0,dt,r v ff,few_1,3287,187,,,151,3200,,,,,,,,,,,0.9548707888822079,0.9449331022156875,0.9498181798085191,0.9503736345914217
1,nbb,r v ff,few_1,3286,188,,,143,3208,,,,,,,,,,,0.9572822858620664,0.9448032754839764,0.9509497857718946,0.9514316451307794
2,knn,r v ff,few_1,3306,168,,,442,2909,,,,,,,,,,,0.8669767658276599,0.9475284825186666,0.8705127972831761,0.8709940809690677
3,svm,r v ff,few_1,3201,273,,,90,3261,,,,,,,,,,,0.9732868545040809,0.9235865471268718,0.9472797167013948,0.9461390292781134
0,dt,r v s,few_1,3091,383,,,1524,1107,,,,,,,,,,,0.4203855701519562,0.7430497782030321,0.5364614455637486,0.5702688384816182
1,nbb,r v s,few_1,2916,558,,,1518,1113,,,,,,,,,,,0.4226065252542444,0.6654203127645161,0.5165615177338067,0.5613926245657022
2,knn,r v s,few_1,189,3285,,,10,2621,,,,,,,,,,,0.9961556372839727,0.4437690759524064,0.6138597492585236,0.10300814343120321
3,svm,r v s,few_1,3053,421,,,1766,865,,,,,,,,,,,0.3285291610070037,0.6724788741442829,0.4409998951363378,0.4775629520116088
0,dt,r v t,few_1,3091,383,,,339,4573,,,,,,,,,,,0.9311158190712447,0.9226803665321988,0.9268267890613823,0.9098984892182669
1,nbb,r v t,few_1,2155,1319,,,33,4879,,,,,,,,,,,0.9932920265887552,0.7870473726598912,0.8781467838357588,0.7637095222823047
2,knn,r v t,few_1,104,3370,,,6,4906,,,,,,,,,,,0.9987870174510842,0.5928860830400059,0.7438831954233179,0.05748277988773308
3,svm,r v t,few_1,3059,415,,,337,4575,,,,,,,,,,,0.9315190448776963,0.916849645269988,0.9240720100983977,0.9051534175093895
