,name,type,exp,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33,recall,precision,f1,harmonic_mean
0,dt,r v ff v t v s,all_2,3067,34,230.0,143.0,47,2804,425.0,75.0,203.0,1327.0,3312.0,70.0,597.0,106.0,194.0,1734.0,0.7633107321853583,0.7733402175113789,0.7600914092166444,0.7501096190943464
1,nbb,r v ff v t v s,all_2,2858,15,424.0,177.0,39,2710,526.0,76.0,269.0,1336.0,2980.0,327.0,721.0,213.0,399.0,1298.0,0.6829624931010819,0.6869990377420773,0.6766820993809214,0.6517163918640785
2,knn,r v ff v t v s,all_2,636,6,1600.0,1232.0,44,729,2449.0,129.0,18.0,2.0,4402.0,490.0,13.0,16.0,292.0,2310.0,0.5436098383519515,0.7306174457981844,0.4948627296383038,0.3171812322831452
3,svm,r v ff v t v s,all_2,2765,42,485.0,182.0,13,2708,509.0,121.0,223.0,1326.0,3086.0,277.0,606.0,119.0,386.0,1520.0,0.7029415210631742,0.7069031047188209,0.6995672218437232,0.6867660672731979
0,dt,r v f,all_2,3046,428,,,836,10058,,,,,,,,,,,0.9232396101728023,0.9591957798777516,0.940842085540561,0.899357700936975
1,nbb,r v f,all_2,2838,636,,,1101,9793,,,,,,,,,,,0.8989334778220688,0.938998024424059,0.918514725749262,0.8559280158045774
2,knn,r v f,all_2,499,2975,,,58,10836,,,,,,,,,,,0.9946509271340684,0.7846247646060587,0.8772264147344675,0.24694348944590483
3,svm,r v f,all_2,2648,826,,,632,10262,,,,,,,,,,,0.9419884731409874,0.9255036871100456,0.9336584236806903,0.84259078836082
0,dt,r v ff,all_2,3397,77,,,55,3296,,,,,,,,,,,0.9836200922570658,0.977325554452588,0.9804141586209827,0.9806360708602335
1,nbb,r v ff,all_2,3398,76,,,91,3260,,,,,,,,,,,0.9729010063713925,0.977206357232052,0.9750289369808078,0.9754910155508894
2,knn,r v ff,all_2,3416,58,,,126,3225,,,,,,,,,,,0.9628074973598363,0.9825397467938581,0.971937773062959,0.9722750758695285
3,svm,r v ff,all_2,3375,99,,,33,3318,,,,,,,,,,,0.9901868460950652,0.9710635609762448,0.9805103837612454,0.9807222170602516
0,dt,r v s,all_2,3286,188,,,602,2029,,,,,,,,,,,0.7710536221884974,0.915392975692219,0.8367823182385201,0.8494027591957239
1,nbb,r v s,all_2,3237,237,,,741,1890,,,,,,,,,,,0.7181850347596289,0.8886311816060634,0.7941545100559967,0.8109079894232558
2,knn,r v s,all_2,1578,1896,,,34,2597,,,,,,,,,,,0.9870001041879665,0.5780524467221863,0.7289695394201008,0.6216019957468646
3,svm,r v s,all_2,3125,349,,,733,1898,,,,,,,,,,,0.7209783536769269,0.8450804303122377,0.7778365124415553,0.800116329574284
0,dt,r v t,all_2,3185,289,,,241,4671,,,,,,,,,,,0.9510625575987655,0.9418291636571073,0.9463740908489887,0.9334789399040824
1,nbb,r v t,all_2,2982,492,,,436,4476,,,,,,,,,,,0.9112698051387301,0.901116951598764,0.9060369251642045,0.8837567369039687
2,knn,r v t,all_2,1816,1658,,,26,4886,,,,,,,,,,,0.9946811221674569,0.7473120040315969,0.853191472711129,0.6829055452388758
3,svm,r v t,all_2,3143,331,,,355,4557,,,,,,,,,,,0.9277073099995544,0.9328640087255498,0.9300281526182343,0.9154276554999594
