,name,type,exp,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33,recall,precision,f1,harmonic_mean
0,dt,r v ff v t v s,param_5,3078,33,229.0,134.0,63,2722,423.0,143.0,395.0,1329.0,3005.0,183.0,626.0,101.0,248.0,1656.0,0.7348570179052423,0.7603131194498316,0.7252011556211829,0.6914467067738858
1,nbb,r v ff v t v s,param_5,3081,33,225.0,135.0,52,2729,423.0,147.0,397.0,1324.0,3009.0,182.0,612.0,102.0,244.0,1673.0,0.7374129156353857,0.7625423857602304,0.7283194347870283,0.6966277391212088
2,knn,r v ff v t v s,param_5,2860,15,426.0,173.0,39,2701,503.0,108.0,302.0,1336.0,2887.0,387.0,757.0,168.0,452.0,1254.0,0.673425338780327,0.7022615619454353,0.6655128839404588,0.5968929725030341
3,svm,r v ff v t v s,param_5,1059,10,1097.0,1308.0,42,705,2444.0,160.0,98.0,8.0,4323.0,483.0,34.0,22.0,209.0,2366.0,0.5736675682785698,0.7315160627003852,0.5253641192688082,0.3181374207381494
0,dt,r v f,param_5,3072,402,,,1249,9645,,,,,,,,,,,0.8853376129939934,0.9589544676938442,0.9139487369630311,0.8770420689577059
1,nbb,r v f,param_5,3072,402,,,1223,9671,,,,,,,,,,,0.8877252087177023,0.9590565179913794,0.9151949554432836,0.8781110585715289
2,knn,r v f,param_5,2863,611,,,1699,9195,,,,,,,,,,,0.8440224597939359,0.9228077357329687,0.860055959991912,0.802674113695643
3,svm,r v f,param_5,1042,2432,,,259,10635,,,,,,,,,,,0.976221935788241,0.8137539735308236,0.8873065869424923,0.45795425003378465
0,dt,r v ff,param_5,3396,78,,,73,3278,,,,,,,,,,,0.9782240582800285,0.9767766751731702,0.9773693440702814,0.9777473792933277
1,nbb,r v ff,param_5,3395,79,,,68,3283,,,,,,,,,,,0.9797139303482588,0.9765307484150849,0.9779983275578014,0.9783562401865277
2,knn,r v ff,param_5,3398,76,,,97,3254,,,,,,,,,,,0.9710669864960909,0.9772149959947585,0.9738585802139896,0.9742964023673512
3,svm,r v ff,param_5,3445,29,,,456,2895,,,,,,,,,,,0.8639125799573562,0.9890182234252606,0.9119332629981859,0.9127231271629288
0,dt,r v s,param_5,3299,175,,,778,1853,,,,,,,,,,,0.704196912086646,0.9062596760154673,0.7733771505173859,0.7852265788179531
1,nbb,r v s,param_5,3296,178,,,774,1857,,,,,,,,,,,0.7057178246341745,0.9049474769815617,0.7740829736734427,0.7860737373957966
2,knn,r v s,param_5,3234,240,,,905,1726,,,,,,,,,,,0.6559813918654223,0.8687241423703809,0.7313548837877593,0.7480286508700751
3,svm,r v s,param_5,1553,1921,,,147,2484,,,,,,,,,,,0.9441093443945154,0.5635384012252479,0.7041057923143568,0.6005693305798989
0,dt,r v t,param_5,3189,285,,,473,4439,,,,,,,,,,,0.9037053135297137,0.9399096998800942,0.9121146415114998,0.899962591492636
1,nbb,r v t,param_5,3189,285,,,472,4440,,,,,,,,,,,0.9039089795174938,0.939949052130553,0.912223409100607,0.9000373370387207
2,knn,r v t,param_5,2985,489,,,566,4346,,,,,,,,,,,0.884844270031295,0.8949806015435232,0.8824613836038928,0.8621178482537074
3,svm,r v t,param_5,2339,1135,,,154,4758,,,,,,,,,,,0.9686437169870681,0.8094331486835774,0.8798069835625724,0.7893157892488986
